blknr,bez,bezname,plr,blktypname,ewk,area,datum,ueberw_dek,freistehen,doppelhaus,gereihtes,anderertyp,x_bis_1900,x1901_1910,x1911_1920,x1921_1930,x1931_1940,x1941_1950,x1951_1960,x1961_1970,x1971_1980,x1981_1990,x1991_2000,x2001_2010,x2011_2015,ew2015,typ,typklar
"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,135480.859375000000000,1999/07/12 00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,177086.625000000000000,1998/10/08 00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"019708","04",Charlottenburg-Wilmersdorf,"04300518",Block,10-99 Einwohner,16879.630859375000000,2006/03/10 00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"019742","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,183565.937500000000000,2005/02/18 00:00:00.000,2001-2010,2.000000000000000,,,1.000000000000000,,,,1.000000000000000,,,,,,,,2.000000000000000,,,37.000000000000000,Kleingartenanlage allgemein
"019742","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,183565.937500000000000,2005/02/18 00:00:00.000,1901-1910,1.000000000000000,1.000000000000000,11.000000000000000,,2.000000000000000,6.000000000000000,4.000000000000000,1.000000000000000,,,,,,,,,,434.000000000000000,32.000000000000000,Flächen der Ver- und Entsorgung
"019742","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,183565.937500000000000,2005/02/18 00:00:00.000,bis 1900,4.000000000000000,1.000000000000000,7.000000000000000,4.000000000000000,7.000000000000000,4.000000000000000,4.000000000000000,,,1.000000000000000,,,,,,,,391.000000000000000,32.000000000000000,Flächen der Ver- und Entsorgung
"019759","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,8620.879882812500000,1994/11/24 00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"019760","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,1435.945556640625000,1994/11/24 00:00:00.000,,,,,,,,,,,,,,,,,,,,,
