BuildingID,yearOfConstruction
attribute_type,bldg
DEBE3D04YY50000BlO,1900
DEBE3D04YY50000QXO,1900
DEBE3D04YY50000PO8,1900
DEBE3D04YY50000FEP,1900
DEBE3D04YY500002HZ,1900
DEBE3D04YY50000Rac,1905
DEBE3D04YY50000Neh,1905
DEBE3D04YY50000Ncz,1905
DEBE3D04YY500005Lc,1905
DEBE3D04YY50000RXk,1905
DEBE3D04YY500005Xu,1905
DEBE3D04YY500001MA,1905
DEBE3D04YY500001FC,1905
DEBE3D04YY500006na,1905
DEBE3D04YY50000LDg,1905
DEBE3D04YY50000GQP,1905
DEBE3D04YY50000Nwi,1905
DEBE3D04YY50000GTB,1905
DEBE3D04YY50000CEY,1905
DEBE3D04YY50000GKb,1905
DEBE3D04YY50002Xut,1905
DEBE3D04YY500005mD,1905
DEBE3D04YY50000419,1905
DEBE3D04YY50000R1k,1905
DEBE3D04YY5000077W,1905
DEBE3D04YY50000JNV,1905
DEBE3D04YY50000CE7,1905
DEBE3D04YY500009yQ,1905
DEBE3D04YY50000N0K,1905
DEBE3D04YY50000DCT,1905
DEBE3D04YY50000R2f,1905
DEBE3D04YY50000Ct5,1905
DEBE3D04YY50000Peo,1905
DEBE3D04YY50002bU7,1905
DEBE3D04YY500000uD,1905
DEBE3D04YY50000COa,1905
DEBE3D04YY500006JC,1905
DEBE3D04YY500001Wu,1905
DEBE3D04YY50000JjD,1905
DEBE3D04YY5000085H,1905
DEBE3D04YY50000JuW,1905
DEBE3D04YY50000QjM,1905
DEBE3D04YY50000II3,1905
DEBE3D04YY50002bXF,1905
DEBE3D04YY50000Lev,1905
DEBE3D04YY50000Cyx,1905
DEBE3D04YY500007Wv,1905
DEBE3D04YY50000GBo,1905
DEBE3D04YY50000PbF,1905
DEBE3D04YY50000MFN,1905
DEBE3D04YY50000Rfo,1905
DEBE3D04YY50000ERg,1905
DEBE3D04YY50000FQS,1905
DEBE3D04YY500002cG,1905
DEBE3D04YY50000Cxk,1905
DEBE3D04YY50000JZF,1905
DEBE3D04YY50000KBl,1905
DEBE3D04YY50000G7N,1905
DEBE3D04YY50000ICL,1905
DEBE3D04YY5000024v,1905
DEBE3D04YY50000PTk,1905
DEBE3D04YY50000RqS,1905
DEBE3D04YY50000Fkp,1905
DEBE3D04YY500003Mn,1905
DEBE3D04YY500005S1,1905
DEBE3D04YY500002Bm,1905
DEBE3D04YY50000Jei,1905
DEBE3D04YY500007uo,1905
DEBE3D04YY500002JB,1905
DEBE3D04YY50000IyF,1905
DEBE3D00YY1Y50004P,1905
DEBE3D04YY500008VN,1905
DEBE3D04YY50000IeR,1905
DEBE3D04YY50000Lg8,1905
DEBE3D04YY500005a4,1905
DEBE3D04YY50002blL,1905
DEBE3D04YY500009jQ,1905
DEBE3D04YY500006oB,1905
DEBE3D04YY50000AJm,1905
DEBE3D04YY50002bpa,1905
DEBE3D04YY50000NEy,1905
DEBE3D04YY50000HK8,1905
DEBE3D04YY500006zT,1905
DEBE3D04YY50000LtY,1905
DEBE3D04YY500004c9,1905
DEBE3D04YY500008Rf,1905
DEBE3D00YY1Y50004M,1905
DEBE3D04YY500000pJ,1905
DEBE3D04YY500004DN,1905
DEBE3D04YY50002cFP,1905
DEBE3D04YY500001cl,1905
DEBE3D04YY500005tB,1905
DEBE3D04YY50002auP,1905
DEBE3D04YY5000035o,1955
DEBE3D04YY50000GZe,1955
DEBE3D04YY50000CMU,1955
DEBE3D04YY50000PyU,1955
DEBE3D04YY50000Mls,1955
DEBE3D04YY500008PC,1955
DEBE3D04YY500002HX,1955
DEBE3D04YY5000065F,1955
DEBE3D04YY50000A3t,1955
DEBE3D04YY500001tj,1955
DEBE3D04YY50000Gpp,1955
DEBE3D04YY50000PvY,1955
DEBE3D04YY5000079k,1955
DEBE3D04YY5000070z,1955
DEBE3D04YY50000AgW,1955
DEBE3D04YY500002ZF,1905
DEBE3D04YY500005l3,1905
DEBE3D04YY500001GY,1905
DEBE3D04YY50000HML,1905
DEBE3D04YY50000Jzy,1905
DEBE3D04YY50000PNl,1905
DEBE3D04YY50000DEj,1905
DEBE3D04YY500002jr,1905
DEBE3D04YY50000Oju,1905
DEBE3D04YY50000Q97,1905
DEBE3D04YY50000Czk,1905
DEBE3D04YY500006VZ,1905
DEBE3D04YY50000Itw,1905
DEBE3D04YY50000EoG,1905
DEBE3D04YY50000RdA,1905
DEBE3D04YY5000006x,1905
DEBE3D04YY50000Kfl,1905
DEBE3D04YY50000AcP,1905
DEBE3D04YY50000JUQ,1905
DEBE3D04YY5000058C,1905
DEBE3D04YY500002Vz,1905
DEBE3D04YY500009Fz,1905
DEBE3D04YY50000PBN,1905
DEBE3D04YY500004IA,1905
DEBE3D04YY50000Rt0,1905
DEBE3D04YY500006iV,1905
DEBE3D04YY50000Cyt,1905
DEBE3D04YY50000EY7,1905
DEBE3D04YY50000AJb,1905
DEBE3D04YY500002tg,1905
DEBE3D04YY500002Cb,1905
DEBE3D04YY500006C3,1905
DEBE3D04YY50000NA7,1905
DEBE3D04YY500005W0,1905
DEBE3D04YY50000GXe,1905
DEBE3D04YY500005Oq,1905
DEBE3D04YY50002bng,1905
DEBE3D04YY500003I0,1905
DEBE3D04YY50000IJD,1905
DEBE3D04YY500002lt,1905
DEBE3D04YY50000ImQ,1905
DEBE3D04YY50000Hsc,1905
DEBE3D04YY50000POZ,1905
DEBE3D04YY50000NMB,1905
DEBE3D04YY50000HGP,1905
DEBE3D04YY500007YH,1905
DEBE3D04YY500009hf,1905
DEBE3D04YY50000RgT,1905
DEBE3D04YY500007B5,1905
DEBE3D04YY50000Pqq,1905
DEBE3D04YY500003zw,1905
DEBE3D04YY500008AI,1955
DEBE3D04YY50000G12,1905
DEBE3D04YY500008pH,1905
DEBE3D04YY50002ceG,1905
DEBE3D00YY1Ha0003w,1905
DEBE3D04YY50002cQp,1905
DEBE3D04YY500009Qd,1905
DEBE3D04YY50000IVk,1905
DEBE3D04YY50000JNM,1905
DEBE3D04YY50000R1u,1905
DEBE3D04YY500009MX,1905
DEBE3D04YY50000Plp,1905
DEBE3D04YY50000Awx,1905
DEBE3D04YY500005TE,1905
DEBE3D04YY50000NTF,1905
DEBE3D04YY50000B14,1905
DEBE3D04YY500008YZ,1925
DEBE3D04YY500009pj,1925
